연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,평일,8,2811,암사,하행,7.2,16.7,30.4,40.0,27.1,13.6,10.9,11.8,11.0,9.8,9.3,10.2,11.0,9.2,4.6,4.0,3.2,3.0,1.8
,평일,8,2812,천호,상행,1.2,3.1,3.0,7.2,7.0,6.3,6.8,8.6,9.3,9.4,13.8,16.4,21.1,30.8,23.1,15.6,14.2,14.4,10.6
,평일,8,2812,천호,하행,11.8,37.8,68.3,110.0,72.8,34.9,29.7,30.0,28.0,26.4,27.1,32.0,37.4,33.5,18.2,14.0,13.4,13.6,8.0
,평일,8,2813,강동구청,상행,3.5,11.4,15.0,23.2,23.0,18.5,20.0,23.8,24.2,27.0,37.6,46.0,67.6,96.3,58.4,41.0,37.5,38.4,24.2
,평일,8,2813,강동구청,하행,13.6,41.4,72.8,116.0,78.5,39.8,32.4,31.2,30.4,28.2,28.0,34.3,40.7,38.8,19.8,14.4,14.2,13.8,7.6
,평일,8,2814,몽촌토성,상행,3.3,12.0,16.0,28.2,23.0,20.2,21.2,23.8,26.5,28.8,38.7,51.0,72.6,102.5,64.4,45.4,41.4,43.4,26.0
,평일,8,2814,몽촌토성,하행,13.6,41.2,76.3,115.2,76.0,40.8,33.6,32.4,31.6,29.7,30.2,37.2,44.1,42.6,21.0,15.2,14.8,14.5,7.8
,평일,8,2815,잠실,상행,3.4,13.5,18.8,31.0,26.2,21.8,23.2,25.4,27.3,30.1,39.4,50.8,74.6,107.4,62.2,46.2,43.0,45.7,26.5
,평일,8,2815,잠실,하행,11.0,36.6,63.2,89.8,63.8,38.6,32.4,35.4,35.5,37.2,41.6,51.1,62.5,78.4,47.2,33.8,35.7,36.9,21.4
,평일,8,2816,석촌,상행,8.8,21.8,44.8,78.7,58.2,40.6,35.7,38.0,37.6,35.5,44.2,53.1,77.9,102.0,50.5,37.0,30.9,30.4,18.0
,평일,8,2816,석촌,하행,13.4,35.1,64.0,95.6,66.8,41.0,34.7,38.2,36.7,39.6,43.8,52.4,69.5,87.4,54.6,39.0,38.9,42.0,27.2
,평일,8,2817,송파,상행,10.6,26.6,55.2,88.2,68.3,44.8,39.2,41.5,41.1,39.0,47.4,58.0,84.4,109.4,52.0,38.8,31.6,30.0,15.8
,평일,8,2817,송파,하행,13.6,34.4,63.8,100.0,64.0,40.7,34.0,37.6,35.9,38.2,42.0,50.3,65.6,81.0,50.1,36.3,36.2,38.9,24.7
,평일,8,2818,가락시장,상행,9.9,25.5,50.8,82.0,64.6,41.9,37.8,40.0,39.0,38.2,46.7,57.0,82.1,107.3,51.8,38.3,31.6,28.8,15.9
,평일,8,2818,가락시장,하행,11.4,29.5,55.7,88.4,62.0,35.8,30.2,31.9,33.6,34.8,40.2,45.7,63.2,80.8,49.1,35.0,35.0,37.8,24.1
,평일,8,2819,문정,상행,17.0,26.2,52.8,88.1,65.8,39.7,34.8,36.6,35.8,36.0,40.8,50.9,75.6,97.0,45.8,34.6,28.4,24.2,13.6
,평일,8,2819,문정,하행,9.4,23.5,37.2,42.0,32.8,25.2,24.4,26.4,27.4,29.6,35.8,41.6,62.7,82.8,46.2,33.8,34.4,35.8,22.8
,평일,8,2820,장지,상행,17.1,25.4,56.0,100.0,64.6,36.2,30.8,30.6,27.8,28.8,31.6,38.0,50.8,56.6,32.4,23.6,19.7,17.8,10.9
,평일,8,2820,장지,하행,7.0,19.8,31.1,36.1,25.5,20.6,19.0,20.0,22.7,23.4,28.3,34.2,54.4,72.4,41.0,30.4,30.8,31.6,18.6
,평일,8,2821,복정,상행,15.2,20.3,44.8,89.0,55.8,30.7,26.6,26.2,22.7,23.8,26.4,31.0,39.6,46.3,27.3,18.1,16.2,13.8,10.3
,평일,8,2821,복정,하행,3.0,10.2,12.8,15.8,10.4,10.6,9.0,10.2,13.2,12.2,16.8,21.2,30.3,43.3,29.0,19.8,19.6,21.2,14.2
,평일,8,2822,산성,상행,12.1,17.8,33.0,55.0,35.6,17.4,15.2,14.7,13.1,13.6,13.0,17.6,19.0,19.3,9.6,6.9,5.9,4.7,2.8
,평일,8,2822,산성,하행,3.2,9.4,12.8,15.0,9.9,9.4,8.1,9.6,11.6,10.8,14.6,18.4,24.7,35.5,24.7,16.8,16.0,17.2,12.6
,평일,8,2823,남한산성입구,상행,10.7,15.0,26.7,45.4,28.2,15.2,13.3,13.2,11.7,11.8,11.8,16.6,17.5,18.4,9.4,7.0,5.6,5.0,2.6
,평일,8,2823,남한산성입구,하행,4.8,10.0,12.9,14.4,8.6,8.6,8.2,8.6,9.6,9.4,11.5,14.2,18.5,23.0,15.0,10.5,9.6,10.1,7.3
,평일,8,2824,단대오거리,상행,6.6,9.2,15.2,27.2,16.7,10.4,9.8,10.1,9.6,10.1,10.8,14.4,14.3,14.8,8.8,6.8,5.6,5.7,3.2
,평일,8,2824,단대오거리,하행,5.2,8.0,10.7,13.8,8.3,8.1,7.7,8.0,8.6,7.7,8.8,10.2,12.4,13.7,7.4,5.1,4.8,5.0,3.4
,평일,8,2825,신흥,상행,3.3,4.8,7.2,15.8,10.0,7.0,7.4,8.2,7.8,8.8,10.4,12.5,11.2,11.0,7.1,6.3,5.1,5.3,3.0
,평일,8,2825,신흥,하행,5.6,7.5,10.0,13.6,8.2,7.3,7.2,7.2,7.7,6.8,7.2,8.4,9.8,10.2,4.9,3.4,3.2,3.2,2.2
,평일,8,2826,수진,상행,2.4,3.5,4.9,11.2,8.1,6.1,6.4,7.4,7.0,8.0,10.2,11.6,10.4,10.8,7.2,5.8,5.0,5.2,3.0
,평일,8,2826,수진,하행,7.8,8.4,11.0,13.9,8.6,7.4,7.4,7.4,8.0,6.6,6.9,8.0,8.8,7.5,2.6,2.0,1.7,1.6,0.8
,평일,8,2827,모란,상행,1.2,2.0,2.2,6.7,5.6,5.2,5.6,6.8,7.0,8.3,10.4,11.0,9.6,11.4,7.8,6.0,5.2,5.8,3.1
