호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
5호선,올림픽공원역,P550,SAT,08,50,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[7, 10, 13, 25, 28, 17, 8, 5]",토요일
5호선,올림픽공원역,P550,SAT,08,00,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[7, 16, 14, 29, 17, 18, 9, 10]",토요일
5호선,올림픽공원역,P550,SAT,08,10,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[10, 16, 26, 28, 20, 18, 16, 12]",토요일
5호선,올림픽공원역,P550,SAT,08,20,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[15, 20, 25, 26, 27, 20, 20, 13]",토요일
5호선,올림픽공원역,P550,SAT,08,30,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[19, 25, 25, 38, 37, 23, 15, 10]",토요일
5호선,올림픽공원역,P550,SAT,08,40,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[14, 28, 18, 30, 29, 22, 19, 8]",토요일
5호선,올림픽공원역,P550,SAT,08,50,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[8, 13, 16, 32, 35, 22, 11, 6]",토요일
5호선,올림픽공원역,P550,SAT,08,00,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[7, 16, 14, 29, 17, 18, 9, 10]",토요일
5호선,올림픽공원역,P550,SAT,08,10,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[10, 16, 26, 28, 20, 18, 16, 12]",토요일
5호선,올림픽공원역,P550,SAT,08,20,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[14, 19, 23, 24, 25, 19, 19, 12]",토요일
5호선,올림픽공원역,P550,SAT,08,30,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[19, 24, 24, 36, 36, 22, 14, 9]",토요일
5호선,올림픽공원역,P550,SAT,08,40,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[13, 26, 16, 27, 26, 20, 17, 7]",토요일
5호선,올림픽공원역,P550,SAT,08,50,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[7, 10, 13, 25, 28, 17, 8, 5]",토요일
5호선,올림픽공원역,P550,SAT,08,00,0,0,P555,마천역,510,방화역,P551,방이역,"[15, 18, 19, 21, 23, 19, 18, 19]",토요일
5호선,올림픽공원역,P550,SAT,08,10,0,0,P555,마천역,510,방화역,P551,방이역,"[17, 17, 18, 20, 20, 24, 22, 23]",토요일
5호선,올림픽공원역,P550,SAT,08,20,0,0,P555,마천역,510,방화역,P551,방이역,"[15, 13, 20, 19, 27, 25, 24, 25]",토요일
