연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
,평일,3,309,지축,상행,10.2,11.5,13.1,20.2,14.7,12.4,14.8,18.2,19.3,22.8,26.7,31.4,40.0,83.8,64.4,33.2,46.3,35.0,41.0,
,평일,3,309,지축,하행,14.1,34.9,73.2,72.0,47.3,32.9,26.3,25.8,22.0,22.2,20.6,23.7,23.6,26.3,15.3,11.2,9.4,12.8,6.6,
,평일,3,310,구파발,상행,11.1,9.0,9.6,14.0,7.8,8.5,10.6,15.2,19.5,14.7,24.1,25.8,36.0,45.2,38.0,22.5,23.4,25.0,10.0,
,평일,3,310,구파발,하행,6.0,24.1,52.0,72.6,30.6,30.9,23.4,24.0,26.6,18.2,23.2,23.8,15.8,15.4,10.0,7.4,8.0,17.2,6.8,
,평일,3,311,연신내,상행,11.9,10.0,11.6,15.8,9.9,11.0,13.3,18.0,23.7,18.6,29.4,33.2,39.9,59.8,42.0,27.8,28.8,30.5,19.4,
,평일,3,311,연신내,하행,9.7,28.5,58.4,87.0,41.0,35.2,27.0,26.2,30.2,18.8,23.5,23.7,14.8,13.7,10.0,7.0,7.2,16.8,6.4,
,평일,3,312,불광,상행,10.6,10.1,12.1,15.6,10.6,13.3,15.6,21.6,27.8,22.8,37.0,41.2,53.2,79.7,56.6,36.3,37.4,40.4,29.4,
,평일,3,312,불광,하행,13.2,33.2,66.8,100.4,50.8,36.8,33.4,28.0,34.4,22.5,25.7,26.8,17.5,16.2,11.4,8.1,8.0,15.6,7.2,
,평일,3,313,녹번,상행,9.2,8.1,11.0,13.8,10.6,12.7,15.1,21.9,26.6,22.5,37.9,42.2,54.2,80.7,57.6,37.0,37.3,42.2,32.2,
,평일,3,313,녹번,하행,15.3,38.0,76.2,117.9,56.6,40.6,36.2,30.3,37.4,24.1,25.8,28.2,18.1,17.1,11.2,8.2,7.8,15.0,6.7,
,평일,3,314,홍제,상행,8.5,7.8,10.4,13.5,10.5,13.0,16.0,22.4,27.4,24.1,41.0,44.1,63.0,91.0,65.6,42.2,41.4,47.7,37.8,
,평일,3,314,홍제,하행,17.3,38.3,80.7,124.4,61.3,44.2,39.0,32.8,40.2,26.6,26.6,32.3,19.2,18.2,11.0,8.1,7.9,14.8,6.3,
,평일,3,315,무악재,상행,6.4,7.9,10.6,13.6,11.1,13.6,17.0,23.5,29.0,25.6,45.2,47.6,67.6,98.0,68.4,44.7,43.4,54.1,41.1,
,평일,3,315,무악재,하행,17.7,39.2,80.8,127.3,64.9,43.8,41.8,33.0,40.0,27.0,26.8,32.8,19.0,19.0,11.1,8.2,8.2,13.2,7.2,
,평일,3,316,독립문,상행,6.2,8.0,10.6,13.1,10.9,14.1,17.0,24.0,27.5,26.9,48.7,48.4,68.6,99.8,70.2,45.8,45.5,55.6,42.6,
,평일,3,316,독립문,하행,11.9,40.2,78.8,131.2,66.0,44.2,42.5,33.6,40.6,28.4,27.0,34.2,19.5,19.6,11.8,8.2,8.4,13.4,7.1,
,평일,3,317,경복궁,상행,6.0,8.0,11.5,13.6,11.1,14.1,17.2,26.0,27.9,27.5,48.4,49.3,73.0,98.7,73.1,45.7,46.8,56.8,35.1,
,평일,3,317,경복궁,하행,12.2,37.6,76.4,120.0,64.3,45.6,44.0,35.7,44.9,34.0,32.8,43.4,27.2,29.6,16.3,12.2,13.6,20.5,11.2,
,평일,3,318,안국,상행,6.2,9.3,16.2,22.9,17.8,19.4,21.8,31.5,32.7,30.8,50.8,50.5,73.4,96.6,69.8,45.2,44.2,58.5,35.6,
,평일,3,318,안국,하행,12.1,35.4,67.6,111.6,63.6,44.1,44.7,36.6,47.0,39.3,38.2,53.6,37.6,39.8,20.6,16.0,17.9,25.3,12.8,
,평일,3,319,종로3가,상행,6.2,11.2,28.6,31.2,24.3,23.4,27.2,36.2,36.0,33.0,52.1,49.1,68.4,91.6,67.6,43.2,42.6,56.0,35.1,
,평일,3,319,종로3가,하행,10.2,28.4,53.7,87.1,51.0,34.9,33.3,28.1,38.6,33.2,31.4,45.8,31.8,38.0,18.3,13.8,15.9,22.8,11.6,
,평일,3,320,을지로3가,상행,3.3,8.2,22.6,27.1,21.6,19.9,23.6,31.1,30.5,28.0,42.6,39.3,56.8,74.6,54.0,34.6,33.3,44.4,28.2,
,평일,3,320,을지로3가,하행,8.8,23.0,41.3,68.9,43.9,30.8,30.6,25.8,37.6,32.9,31.4,46.8,34.0,43.6,20.0,15.0,17.6,25.6,14.4,
,평일,3,321,충무로,상행,3.6,7.8,23.6,32.7,23.4,20.1,23.8,29.4,30.4,28.2,39.4,35.8,49.4,62.0,45.9,29.0,27.8,37.8,23.7,
,평일,3,321,충무로,하행,8.6,27.5,46.6,74.6,50.4,34.6,32.9,28.4,41.4,36.0,34.3,51.0,36.4,45.3,20.8,15.2,17.7,25.8,16.8,
,평일,3,322,동대입구,상행,3.3,6.8,23.2,33.4,24.2,21.6,26.4,33.2,33.0,31.7,43.9,37.6,54.0,69.1,54.3,34.0,30.5,44.0,25.2,
,평일,3,322,동대입구,하행,8.5,26.4,44.3,69.9,50.2,33.6,31.6,29.0,39.0,35.9,34.4,52.0,37.3,46.6,22.0,15.6,19.4,27.0,16.8,
,평일,3,323,약수,상행,4.2,7.2,24.2,35.6,24.6,23.1,26.8,33.5,33.2,31.4,43.0,36.4,50.0,67.6,51.2,32.4,29.2,42.0,24.8,
,평일,3,323,약수,하행,10.8,30.8,51.6,84.2,59.4,38.5,35.9,32.2,43.4,39.0,36.2,54.4,40.0,48.2,22.5,16.6,20.0,28.3,17.8,
,평일,3,324,금호,상행,4.0,7.2,23.6,35.8,25.3,24.0,28.6,36.2,35.8,34.6,48.5,40.8,60.6,82.0,60.0,38.2,34.8,47.2,34.0,
,평일,3,324,금호,하행,12.2,31.1,52.8,86.6,62.4,38.6,36.4,32.4,43.7,39.9,35.9,53.4,38.7,46.6,22.4,16.2,19.0,26.2,16.5,
,평일,3,325,옥수,상행,3.2,6.6,23.0,32.4,24.1,23.2,27.7,37.0,34.3,35.8,49.4,41.5,61.0,85.2,61.6,39.3,35.8,48.8,28.0,
