연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
10.0,평일,1,150,서울역,상행,3.6,20.2,52.4,82.2,63.0,41.2,34.2,37.4,32.6,27.0,26.3,25.1,31.6,44.4,26.4,18.5,16.8,16.6,12.2,5.2
20.0,평일,1,150,서울역,하행,5.7,13.4,31.5,33.0,25.6,19.6,22.0,28.3,33.6,32.6,50.5,53.1,69.7,98.4,44.0,40.2,40.9,34.6,16.9,2.9
9.0,평일,1,151,시청,상행,3.5,15.5,40.0,59.4,51.0,37.5,32.6,35.4,31.2,27.1,27.4,27.8,35.8,59.0,30.0,22.6,20.9,20.1,15.0,5.3
19.0,평일,1,151,시청,하행,4.6,13.2,29.6,31.4,26.0,20.4,21.1,26.8,31.9,31.8,48.1,46.4,64.6,93.3,40.3,37.1,36.9,30.1,14.6,2.4
8.0,평일,1,152,종각,상행,3.2,10.9,24.3,34.2,35.8,32.3,30.9,32.4,30.8,29.0,30.6,31.2,41.9,74.2,36.2,31.9,29.3,26.6,19.0,5.4
18.0,평일,1,152,종각,하행,4.9,14.0,36.9,47.9,32.6,22.2,22.8,28.0,31.6,30.6,45.1,42.0,55.6,68.4,31.9,30.1,29.4,24.5,12.2,2.0
7.0,평일,1,153,종로3가,상행,2.8,11.5,24.5,36.8,35.4,35.3,30.7,36.6,32.1,32.0,35.2,35.3,46.4,79.6,39.4,34.0,34.4,30.3,21.8,5.4
17.0,평일,1,153,종로3가,하행,5.9,16.0,47.6,71.2,45.7,26.4,24.5,28.3,31.4,29.9,42.0,36.7,43.9,48.7,24.2,20.5,20.0,17.8,9.1,1.8
6.0,평일,1,154,종로5가,상행,2.6,9.8,18.8,27.5,28.4,28.5,27.2,31.8,30.4,30.5,34.7,36.2,47.7,83.8,40.2,35.4,37.8,30.2,21.4,8.7
16.0,평일,1,154,종로5가,하행,6.5,18.8,53.6,76.6,52.0,32.1,28.2,34.5,35.6,33.2,47.0,37.8,45.5,45.8,24.5,19.4,18.4,16.2,9.4,2.2
5.0,평일,1,155,동대문,상행,3.7,9.8,17.8,27.4,26.8,27.6,27.7,31.9,32.0,29.8,35.4,37.3,48.0,83.8,40.2,34.6,37.6,29.4,24.6,8.6
15.0,평일,1,155,동대문,하행,6.8,19.8,57.2,82.0,55.7,33.5,28.1,33.2,34.5,28.3,39.6,34.0,38.4,37.2,19.8,15.5,15.4,13.4,8.6,2.2
3.0,평일,1,156,신설동,상행,3.4,9.2,12.2,21.9,24.3,22.8,23.0,24.9,29.2,25.5,30.6,35.2,48.4,72.9,39.6,28.8,32.4,26.4,20.6,6.3
13.0,평일,1,156,신설동,하행,10.7,26.6,53.3,71.9,44.8,30.2,26.8,31.0,28.6,26.6,32.9,32.5,33.9,31.2,16.4,13.0,12.9,10.4,7.4,1.1
